response,Dimens,AG_BG,Ecos_Function,Tr_Group,Trophic_level,Explanations to response
o_Plants,flow,AG,Carbon_uptake,NA,NA,Carbon uptake from environment (o) to Plants
Plants_AG.Herbivores,flow,AG,Herbivory,NA,NA,Herbivory by AG Herbivores
AG.Herbivores_AG.Carnivores,flow,AG,Predation,NA,NA,Predation of AG Herbivores by AG Carnivores
AG.Decomposers_AG.Carnivores,flow,AG,Predation,NA,NA,Predation of AG Decomposers by AG Carnivores
Plants_AG.Omnivores,flow,AG,Herbivory,NA,NA,Herbivory by AG Omnivores
AG.Herbivores_AG.Omnivores,flow,AG,Predation,NA,NA,Predation of AG Herbivores by AG Omnivores
AG.Decomposers_AG.Omnivores,flow,AG,Predation,NA,NA,Predation of AG Decomposers by AG Omnivores
AG.Litter_AG.Omnivores,flow,AG,Decomposition,NA,NA,Decomposition by AG Omnivores
AG.Litter_AG.Decomposers,flow,AG,Decomposition,NA,NA,Decomposition by AG Decomposers
BG.Herbivores_BG.Carnivores,flow,BG,Predation,NA,NA,Predation of BG Herbivores by BG Carnivores
BG.Decomposers_BG.Carnivores,flow,BG,Predation,NA,NA,Predation of BG Decomposers by BG Carnivores
Plants_BG.Herbivores,flow,BG,Herbivory,NA,NA,Herbivory by BG Herbivores
SOM_BG.Decomposers,flow,BG,Decomposition,NA,NA,Decomposition by BG Decomposers
Plants_BG.Omnivores,flow,BG,Herbivory,NA,NA,Herbivory by BG Omnivores
BG.Herbivores_BG.Omnivores,flow,BG,Predation,NA,NA,Predation of BG Herbivores by BG Omnivores
BG.Decomposers_BG.Omnivores,flow,BG,Predation,NA,NA,Predation of BG Decomposers by BG Omnivores
SOM_BG.Omnivores,flow,BG,Decomposition,NA,NA,Decomposition by BG Omnivores
Soil.Microorganisms_BG.Omnivores,flow,BG,Predation,NA,NA,Predation of soil microorganisms by BG Omnivores
Plants_SOM,flow,BG,Detritus_production,NA,NA,Plant root mortality
BG.Carnivores_SOM,flow,BG,Detritus_production,NA,NA,Excretion and natural mortality of 
BG.Herbivores_SOM,flow,BG,Detritus_production,NA,NA,Excretion and natural mortality of BG Herbivores
BG.Decomposers_SOM,flow,BG,Detritus_production,NA,NA,Excretion and natural mortality of BG Decomposers
BG.Omnivores_SOM,flow,BG,Detritus_production,NA,NA,Excretion and natural mortality of BG Omnivores
AG.Litter_SOM,flow,BG,Detritus_production,NA,NA,Fauna burial activity (mechanical transfer and transformation of aboveground into belowground subnetwork)
Soil.Microorganisms_SOM,flow,BG,Detritus_production,NA,NA,Excretion and natural mortality of soil microorganisms
Plants_AG.Litter,flow,AG,Detritus_production,NA,NA,Plant aboveground mortality
AG.Herbivores_AG.Litter,flow,AG,Detritus_production,NA,NA,Excretion and natural mortality of AG Herbivores
AG.Carnivores_AG.Litter,flow,AG,Detritus_production,NA,NA,Excretion and natural mortality of AG Carnivores
AG.Omnivores_AG.Litter,flow,AG,Detritus_production,NA,NA,Excretion and natural mortality of AG Omnivores
AG.Decomposers_AG.Litter,flow,AG,Detritus_production,NA,NA,Excretion and natural mortality of AG Decomposers
SOM_Soil.Microorganisms,flow,BG,Decomposition,NA,NA,Decomposition by soil microorganisms
Plants_o,flow,AG_BG,Respiration,NA,NA,Respiration of Plants
AG.Herbivores_o,flow,AG,Respiration,NA,NA,Respiration of AG Herbivores
AG.Carnivores_o,flow,AG,Respiration,NA,NA,Respiration of AG Carnivores
AG.Omnivores_o,flow,AG,Respiration,NA,NA,Respiration of AG Omnivores
AG.Decomposers_o,flow,AG,Respiration,NA,NA,Respiration of AG Decomposers
BG.Carnivores_o,flow,BG,Respiration,NA,NA,Respiration of BG Carnivores
BG.Herbivores_o,flow,BG,Respiration,NA,NA,Respiration of BG Herbivores
BG.Decomposers_o,flow,BG,Respiration,NA,NA,Respiration of BG Decomposers
BG.Omnivores_o,flow,BG,Respiration,NA,NA,Respiration of BG Omnivores
Soil.Microorganisms_o,flow,BG,Respiration,NA,NA,Respiration of soil microorganisms
Plants.Stock,stock,AG_BG,NA,Plants,1,Biomass stock of Plants
AG.Herbivores.Stock,stock,AG,NA,Herbivores,2,Biomass stock of AG Herbivores
AG.Carnivores.Stock,stock,AG,NA,Carnivores,3,Biomass stock of AG Carnivores
AG.Omnivores.Stock,stock,AG,NA,Omnivores,3,Biomass stock of AG Omnivores
AG.Decomposers.Stock,stock,AG,NA,Decomposers,2,Biomass stock of AG Decomposers
BG.Herbivores.Stock,stock,BG,NA,Herbivores,2,Biomass stock of BG Herbivores
BG.Carnivores.Stock,stock,BG,NA,Carnivores,3,Biomass stock of BG Carnivores
BG.Omnivores.Stock,stock,BG,NA,Omnivores,3,Biomass stock of BG Omnivores
BG.Decomposers.Stock,stock,BG,NA,Decomposers,2,Biomass stock of BG Decomposers
Soil.Microorganisms.Stock,stock,BG,NA,Decomposers,2,Biomass stock of soil microorganisms
AG.Litter.Stock,stock,AG,NA,Detritus,1,Standing stock of AG litter
SOM.Stock,stock,BG,NA,Detritus,1,Standing stock of soil organic carbon
