plotcode,block,plot,sowndiv,numfg,numgrass,numsherb,numtherb,numleg,gr.ef,sh.ef,th.ef,leg.ef,root_StandBiom,shoot_StandBiom
B1A01,B1,A01,16,4,4,4,4,4,1,1,1,1,447.9390783,213.42575
B1A02,B1,A02,8,2,4,0,4,0,1,0,1,0,613.8244761,109.42
B1A03,B1,A03,8,3,3,3,0,2,1,1,0,1,215.4985743,176.5875
B1A04,B1,A04,4,4,1,1,1,1,1,1,1,1,600.2778615,173.0075
B1A05,B1,A05,2,1,0,0,0,2,0,0,0,1,132.347999,260.355
B1A06,B1,A06,16,2,8,0,8,0,1,0,1,0,280.4599613,215.2575
B1A07,B1,A07,2,1,0,0,2,0,0,0,1,0,240.1319322,178.515
B1A08,B1,A08,1,1,0,0,0,1,0,0,0,1,258.4683664,268.25
B1A11,B1,A11,16,1,0,0,16,0,0,0,1,0,346.5300226,167.705
B1A12,B1,A12,8,1,0,0,0,8,0,0,0,1,332.983408,144.8125
B1A13,B1,A13,4,1,0,0,0,4,0,0,0,1,87.86244123,231.795
B1A14,B1,A14,8,4,2,2,2,2,1,1,1,1,467.8605703,112.77
B1A15,B1,A15,1,1,0,0,1,0,0,0,1,0,106.0862757,174.475
B1A16,B1,A16,2,2,1,1,0,0,1,1,0,0,365.3081941,143.24
B1A17,B1,A17,2,2,1,0,1,0,1,0,1,0,441.9106616,144.75
B1A18,B1,A18,1,1,0,1,0,0,0,1,0,0,274.4661906,108.15
B1A19,B1,A19,4,3,2,1,1,0,1,1,1,0,485.8418823,151.6225
B1A20,B1,A20,16,3,0,6,5,5,0,1,1,1,482.411921,228.0875
B1A21,B1,A21,4,2,2,0,2,0,1,0,1,0,347.3615283,169.5475
B1A22,B1,A22,60,4,16,12,20,12,1,1,1,1,36.56609301,211.995
B2A01,B2,A01,4,4,1,1,1,1,1,1,1,1,302.9799087,232.9225
B2A02,B2,A02,2,1,2,0,0,0,1,0,0,0,703.904266,131.4075
B2A03,B2,A03,60,4,16,12,20,12,1,1,1,1,1130.293487,247.5275
B2A04,B2,A04,1,1,0,0,1,0,0,0,1,0,208.8465283,206.5
B2A05,B2,A05,1,1,1,0,0,0,1,0,0,0,343.411876,127.255
B2A06,B2,A06,4,2,0,2,0,2,0,1,0,1,152.6505978,175.7225
B2A08,B2,A08,2,2,0,0,1,1,0,0,1,1,545.467774,134.9375
B2A09,B2,A09,4,1,0,4,0,0,0,1,0,0,363.6451826,226.78
B2A10,B2,A10,16,2,8,8,0,0,1,1,0,0,925.3273188,212.7725
B2A12,B2,A12,8,1,0,0,8,0,0,0,1,0,349.4056466,155.4375
B2A13,B2,A13,1,1,0,1,0,0,0,1,0,0,199.6653189,94
B2A14,B2,A14,8,4,2,2,2,2,1,1,1,1,418.8017309,178.5925
B2A15,B2,A15,1,1,0,0,0,1,0,0,0,1,109.9666358,170.79
B2A16,B2,A16,4,3,0,2,1,1,0,1,1,1,546.1260493,245.6425
B2A17,B2,A17,8,2,0,4,0,4,0,1,0,1,403.210998,177.345
B2A18,B2,A18,16,4,4,4,4,4,1,1,1,1,458.9565296,166.3025
B2A19,B2,A19,2,1,0,2,0,0,0,1,0,0,739.9015359,106.7175
B2A20,B2,A20,2,2,0,1,0,1,0,1,0,1,407.5417572,120.56
B2A21,B2,A21,8,3,0,2,3,3,0,1,1,1,449.0477527,167.5925
B2A22,B2,A22,16,3,5,0,5,6,1,0,1,1,814.3905929,230.1175
B3A01,B3,A01,1,1,0,0,1,0,0,0,1,0,189.5140195,111.25
B3A02,B3,A02,2,2,1,0,1,0,1,0,1,0,239.3350726,174.87
B3A03,B3,A03,4,3,1,1,0,2,1,1,0,1,555.930888,126.855
B3A04,B3,A04,8,1,8,0,0,0,1,0,0,0,582.1926114,359.2325
B3A05,B3,A05,8,3,3,0,2,3,1,0,1,1,309.5280165,123.355
B3A06,B3,A06,1,1,1,0,0,0,1,0,0,0,818.3229222,156.415
B3A07,B3,A07,8,4,2,2,2,2,1,1,1,1,619.0906792,203.475
B3A08,B3,A08,2,1,2,0,0,0,1,0,0,0,253.1242096,146.75
B3A09,B3,A09,16,1,16,0,0,0,1,0,0,0,955.5386945,196.58
B3A11,B3,A11,4,2,2,2,0,0,1,1,0,0,1022.232385,168.845
B3A12,B3,A12,1,1,0,0,0,1,0,0,0,1,135.0850388,131.75
B3A13,B3,A13,4,1,4,0,0,0,1,0,0,0,818.2709531,170.315
B3A14,B3,A14,60,4,16,12,20,12,1,1,1,1,696.9750514,361.2475
B3A16,B3,A16,16,2,0,8,0,8,0,1,0,1,200.3582404,268.98
B3A17,B3,A17,1,1,0,1,0,0,0,1,0,0,323.0919541,84.5325
B3A19,B3,A19,2,2,1,1,0,0,1,1,0,0,393.9951426,129.3725
B3A20,B3,A20,8,2,0,0,4,4,0,0,1,1,624.4608205,334.7625
B3A21,B3,A21,2,1,0,0,0,2,0,0,0,1,213.3851639,136.1725
B3A22,B3,A22,16,4,4,4,4,4,1,1,1,1,982.6319236,233.525
B3A23,B3,A23,4,4,1,1,1,1,1,1,1,1,369.5350151,321.54
B3A24,B3,A24,16,3,6,5,0,5,1,1,0,1,512.1382517,295.5525
B4A01,B4,A01,60,4,16,12,20,12,1,1,1,1,930.2470611,275.115
