plotcode,block,plot,sowndiv,numfg,numgrass,numsherb,numtherb,numleg,gr.ef,sh.ef,th.ef,leg.ef,*  ->  Plants,Plants -> AG Herbivores,AG Herbivores -> AG Carnivores ,AG Decomposers -> AG Carnivores ,Plants -> AG Omnivores,AG Herbivores -> AG Omnivores,AG Decomposers -> AG Omnivores,AG Litter -> AG Omnivores,AG Litter -> AG Decomposers ,BG Herbivores -> BG Carnivores,BG Decomposers -> BG Carnivores,Plants -> BG Herbivores,SOM -> BG Decomposers ,Plants -> BG Omnivores,BG Herbivores -> BG Omnivores,BG Decomposers -> BG Omnivores,SOM -> BG Omnivores,Soil Microorganisms -> BG Omnivores,Plants  ->  SOM,BG Carnivores -> SOM,BG Herbivores -> SOM,BG Decomposers  -> SOM,BG Omnivores -> SOM,AG Litter -> SOM,Soil Microorganisms -> SOM,Plants  ->  AG Litter,AG Herbivores -> AG Litter,AG Carnivores  -> AG Litter,AG Omnivores -> AG Litter,AG Decomposers -> AG Litter,SOM -> Soil Microorganisms,Plants ->*,AG Herbivores -> *,AG Carnivores  -> *,AG Omnivores -> *,AG Decomposers -> *,BG Carnivores -> *,BG Herbivores -> *,BG Decomposers -> *,BG Omnivores -> *,Soil Microorganisms -> *,Plants StandBiom,AG Herbivores StandBiom,AG Carnivores StandBiom,AG Omnivores StandBiom,AG Decomposers StandBiom,BG Herbivores StandBiom,BG Carnivores StandBiom,BG Omnivores StandBiom,BG Decomposers StandBiom ,Soil Microorganisms StandBiom,AG Litter StandBiom,SOM StandBiom
B1A01,B1,A01,16,4,4,4,4,4,1,1,1,1,46.062,0.014707,0.00035195,0.0023161,0.073679,0.00013745,4.73E-05,0.067676,0.090918,0.0015307,4.798,0.21236,13.002,2.4891,0.070193,2.2503,2.4928,0.011466,4.3111,1.7236,0.1279,5.6423,2.4774,1.521,0.0097406,1.4368,0.012133,0.0021896,0.14023,0.088262,0.31783,37.524,0.002084,0.00047839,0.0013101,0.00029198,3.076,0.012742,0.31189,4.8364,0.29662,661.3648283,0.002497795,0.04096697,0.037266667,0.016710219,0.347847381,2.327831982,4.367458426,18.78404833,5.456994576,43.76666667,104.9608028
B1A02,B1,A02,8,2,4,0,4,0,1,0,1,0,54.118,0.0034419,0.00041629,0.00015344,0.012681,0.00014405,0.00016569,0.056845,0.010185,3.62E-05,1.2378,0.026913,23.515,0.27269,0.00034829,1.078,3.179,0.24879,11.518,1.0679,0.026178,10.933,2.0774,1.3524,3.36E-05,1.3529,0.0015579,0.00055471,0.054824,0.009578,0.28155,40.931,1.32E-03,1.50E-05,0.015012,0.00028761,0.16992,0.00035004,10.266,2.7015,0.03273,723.2444761,0.006321633,0.035013485,0.026315455,0.00174697,0.056996641,1.462567862,3.81541881,32.4513532,5.025402097,19,107.9429773
B1A03,B1,A03,8,3,3,3,0,2,1,1,0,1,28.351,0.025384,0.0067375,0.0041972,0.002613,0.00040722,1.59E-06,0.0079397,0.046954,0.034389,2.8446,0.061213,9.3549,0.0060461,0.0062039,0.00073049,1.4988,0.095485,3.1384,2.7794,0.013045,1.7175,1.0075,2.5071,0.00062322,2.4814,0.017675,0.010056,0.010624,0.042285,0.30987,22.636,0.00056688,0.00087849,0.0003407,0.00047076,0.099564,0.0075745,4.7921,0.59975,0.21376,392.0860743,0.020776229,0.035204411,0.006369394,0.012731397,0.04020179,3.76290433,1.841453091,5.690597329,4.79190116,15.33333333,86.40934047
B1A04,B1,A04,4,4,1,1,1,1,1,1,1,1,49.443,0.044503,0.0026274,0.0018064,0.016653,0.00047971,8.58E-05,0.0080746,0.014059,0.2579,5.2932,1.6093,26.615,0.26883,0.15293,0.25473,0.29963,0.076372,2.8102,4.0743,0.99878,17.629,0.50615,1.0934,0.00034841,1.0395,0.040845,0.0003835,0.023591,0.011274,0.19751,43.654,0.0005507,0.0040503,0.0017018,0.00089259,1.4768,0.19971,3.4382,0.54633,0.12079,773.2853615,0.010973215,0.023427727,0.012870303,0.007466212,2.291978746,5.543202117,0.919025176,55.36617123,4.934902323,10.33333333,96.82322093
B1A05,B1,A05,2,1,0,0,0,2,0,0,0,1,60.419,0.0081285,0.0068867,8.20E-05,0.0010872,0.00023067,3.49E-05,0.0015607,0.014763,0.64785,12.643,0.7218,53.328,0.0014817,0.011663,0.0016257,0.37609,0.00018023,21.535,5.0902,0.060145,11.23,0.30641,15.483,0.22416,15.478,0.00046904,0.0035711,0.0023663,0.014514,0.22441,22.673,0.00054203,0.0033977,0.00054715,0.00013222,8.2011,0.002141,29.453,0.084632,6.99E-05,392.702999,0.032002609,0.056748805,0.006369394,0.000397508,0.174629435,6.970004835,0.569228586,37.42787777,5.60977994,50,116.1105249
B1A06,B1,A06,16,2,8,0,8,0,1,0,1,0,41.173,0.016744,0.0065753,1.82E-03,0.005181,0.001006,2.57E-04,0.032544,0.029117,1.0449,0.42711,1.2074,36.253,0.21273,0.12775,0.14585,0.30777,9.20E-02,5.7781,1.387,0.016516,23.398,0.66168,5.5687,0.024723,5.5543,0.0085382,0.0071711,0.033587,0.026754,0.27333,28.398,6.25E-04,0.0012235,0.0054008,0.00028719,0.085059,0.018204,12.283,0.2244,0.15662,495.7174613,0.024319731,0.05014202,0.022965909,0.006717576,0.03350368,1.897090181,1.226180452,63.56121602,5.427022715,12.66666667,114.4290962
B1A07,B1,A07,2,1,0,0,2,0,0,0,1,0,29.718,0.035045,0.00064993,0.0016636,0.023384,2.60E-05,0.0027672,0.022676,0.090468,0.0051667,2.3711,0.27494,9.291,0.35487,0.2127,0.0062571,0.18105,3.43E-05,1.8957,0.99152,0.036079,3.0171,0.67518,3.0683,7.66E-05,3.016,0.034304,0.0011774,0.044197,0.085698,0.21192,24.118,6.50E-05,0.0011361,0.0046554,0.00033857,1.3848,0.020999,3.8965,0.079734,0.2118,418.6469322,0.003115017,0.063311566,0.006673939,0.007861364,0.093270461,1.354552192,1.228766914,10.05143889,5.546012846,50.33333333,121.1593252
B1A08,B1,A08,1,1,0,0,0,1,0,0,0,1,39.12,0.039935,0.00075336,0.0008077,0.0215,4.37E-05,0.00016083,0.042494,0.088159,0.85892,5.4807,0.88475,15.428,0.20354,0.0002344,0.79005,0.0069636,0.022233,2.2758,2.9801,0.021257,3.8977,0.83147,5.6353,0.00012252,5.5806,0.038289,0.00086289,0.059929,0.08627,0.20654,30.114,0.00084917,0.00069817,0.0042698,0.00092031,3.3595,0.0043363,5.2598,0.19156,0.18419,526.7183664,0.003477677,0.03258904,0.005522121,0.003771532,0.070473392,4.054423247,1.515158481,12.98639931,5.014872773,73.33333333,112.0939999
B1A11,B1,A11,16,1,0,0,16,0,0,0,1,0,45.87,0.020579,0.0028804,0.00034301,0.0018341,1.02E-04,6.11E-05,0.028434,0.042441,0.32406,13.147,0.48435,38.071,0.0016375,0.0034411,0.74315,0.96862,0.019811,10.152,6.2166,0.10845,16.347,0.66939,5.7958,0.00049992,5.7768,0.017567,3.58E-05,0.030282,0.041988,0.25033,29.433,2.99E-05,0.0031876,0.00014894,4.92E-05,7.2549,0.048404,7.833,1.0673,0.23002,514.2350226,0.022777239,0.052834781,0.00666,0.003433939,0.300094644,8.568543202,1.232356343,54.46036255,5.792986791,17.66666667,143.5750899
B1A12,B1,A12,8,1,0,0,0,8,0,0,0,1,50.56,0.061817,0.006629,0.0011859,0.0093479,0.00043841,9.91E-05,0.13298,0.15869,0.014993,17.207,0.0673,35.183,0.23552,0.036565,0.22603,0.23684,0.016114,15.687,6.8842,0.0058166,5.4416,0.36574,7.1565,0.0106,7.0947,0.053101,0.0064055,0.13752,0.15637,0.13146,27.404,0.0016483,0.0014094,0.0053465,0.0010392,10.338,0.0099247,12.308,0.38533,0.10474,477.795908,0.054397508,0.12371266,0.024654444,0.009758081,0.017974501,9.386085474,0.674899371,17.7784036,4.565244514,63.33333333,110.2138972
