stock,sowndiv,leg.ef,gr.ef,sh.ef,th.ef,numfg
root.StandBiom,2.09471203,-4.869399806,3.018245474,1.469080578,0.073190825,-0.092269506
shoot.StandBiom,0.108389289,0.196217729,-0.112923248,-0.161058076,0.071775828,0.00432484
AG.Herbivores.StandBiom,0.005924894,0.00095819,-0.02154541,0.004377876,-0.01066884,-0.007784644
AG.Carnivores.StandBiom,-0.074236992,0.158843659,0.028391929,-0.05539349,-0.029521152,0.032692339
AG.Omnivores.StandBiom,0.01810454,0.022594215,0.002481426,-0.001591279,-0.024872152,0.000535486
AG.Decomposers.StandBiom,0.009136457,0.018680419,0.001014478,0.011197498,-0.002153259,0.006864111
BG.Herbivores.StandBiom,0.020228287,-0.097170364,0.016599974,0.171153872,-0.083223096,-0.00744755
BG.Carnivores.StandBiom,0.06481575,0.656193816,0.259740014,-0.259391817,-0.40002402,0.105925026
BG.Omnivores.StandBiom,0.028265034,-0.049643218,0.174604738,0.039776556,-0.080921043,0.027129264
BG.Decomposers.StandBiom,-0.005328703,-0.239816472,-0.064166797,-0.101667313,-0.349937904,-0.183937647
Soil.Microorganisms.StandBiom,0.094550511,0.341855915,-0.304671547,0.304091668,0.138653314,0.090952416
AG.Litter.StandBiom,0.152538197,1.734799391,-0.864584652,0.476996551,0.253604871,0.352744869
SOM.StandBiom,0.07385866,-0.040463578,-0.115203331,0.041631466,0.026861079,-0.030417549
