stock,compartments,AG_BG,Tr_Group,Trophic_level
root.StandBiom,Plants,BG,Plants,1
shoot.StandBiom,Plants,AG,Plants,1
AG.Herbivores.StandBiom,AG Herbivores,AG,Herbivores,2
AG.Carnivores.StandBiom,AG Carnivores,AG,Carnivores,3
AG.Omnivores.StandBiom,AG Omnivores,AG,Omnivores,3
AG.Decomposers.StandBiom,AG Decomposers,AG,Decomposers,2
BG.Herbivores.StandBiom,BG Herbivores,BG,Herbivores,2
BG.Carnivores.StandBiom,BG Carnivores,BG,Carnivores,3
BG.Omnivores.StandBiom,BG Omnivores,BG,Omnivores,3
BG.Decomposers.StandBiom,BG Decomposers,BG,Decomposers,2
Soil.Microorganisms.StandBiom,BG Microorganisms,BG,Decomposers,2
AG.Litter.StandBiom,AG Litter,AG,Detritus,1
SOM.StandBiom,SOM,BG,Detritus,1
