sp,rbm,ra,laBM,lbpr,la,sra,srl,RNU,nute,k.rad,RootingDepth_Target,h1,erect,lar,fc,sla,lSize,srr,sd,ssd,leafN,leafC,Nacr,cond,lt,pp,lsd,ldmc,LCN,rtd,RCN,sdmc,BM_Target_Inflorescence,NrInflorescence_Target_Shoot,SeedsProjArea,SeedsTCW,SeedsWLRatio,NrSeedling_Target,DurationFlowreing_Target_Phenology,rootCa,rootK,rootNa,rootP,rootS
Ach.mil,-0.311751759,-0.419976769,0.544736289,2.09032693,-0.548941802,-0.531272235,-0.456046959,-1.278837926,-0.197449483,0.119802326,-0.380300238,2.124885755,1.111795184,-0.974016145,-0.931495182,-0.91871941,-0.391258129,0.35430626,-0.073990237,0.393793902,-1.160446693,-1.169960692,0.603523398,0.12952364,1.126372187,0.103866174,0.18622979,-0.792874878,1.124399276,-0.041827056,0.376226787,1.109310076,NA,NA,-0.53736101,-0.590043548,-0.66315421,-0.268799055,0.505299447,0.169619952,0.857881033,0.164117839,-0.395243873,-0.533168829
Aju.rep,-0.456502503,-0.239323374,-0.537207147,NA,0.106252173,0.237824796,-0.514274401,1.730493442,0.641210549,-0.59475969,-1.104097464,-0.803166553,0.351022038,1.101457007,NA,0.407188791,-0.167591025,-0.229126603,-0.222491769,-0.742871873,0.217743889,-1.137830675,1.087741136,NA,1.126372187,0.742116729,4.314084137,-1.308581822,-0.664444626,-0.9525614,-0.567073395,-1.537431943,1.302436571,NA,-0.325930503,-0.340945713,0.671303286,-0.271876708,0.505299447,NA,NA,NA,NA,NA
Alo.pra,5.327367631,6.120960608,1.571152301,NA,-0.257287888,0.082925553,-0.270584368,2.126593293,-0.672697998,0.642849175,0.343496989,1.175247169,0.752392376,-1.674901898,NA,-0.165747632,-0.467219281,-0.864223579,-0.896688723,0.115392699,-0.846200027,-0.491987411,-2.23477438,-1.711228719,0.092440502,2.405163948,2.166744505,2.108916066,0.783288719,-0.482504964,1.175620302,0.389594796,-0.711740431,-0.597808443,-0.517624447,-0.542861487,-0.868600323,-0.236483702,-1.418098447,NA,NA,NA,NA,NA
Ant.odo,-0.279413827,0.097515421,-0.124958093,-0.518940819,0.27568369,0.652260564,1.376345969,-0.210138952,-0.311235932,-0.149772503,-0.380300238,-0.249210711,0.367376687,-0.123432892,-0.639846964,0.610498118,-0.544028477,-0.306401452,-0.632355997,-0.129619939,-0.360361583,1.085232845,0.689281088,-0.187521111,-0.683008261,0.445465062,-0.48301463,0.548189411,0.238632777,-0.218098219,0.762498113,-0.472496114,-0.124272139,-0.597808443,0.142158531,-0.4710627,-1.430917504,-0.271876708,-1.418098447,-0.509361891,-0.272741841,-0.823545526,-0.961629229,-0.622551545
Ant.syl,1.368280806,0.598099994,-0.856910495,NA,-0.636374159,-0.882152049,-0.867506777,1.877630923,-0.594806643,0.297008689,1.067294215,-0.644893455,-0.974372049,0.58302852,NA,-0.757223461,1.000541992,-0.946980191,2.958411044,-0.623306962,-0.957654858,-1.734445044,-0.882403912,NA,-0.553766801,0.085887285,1.51095536,-0.116232357,0.901236238,-0.041827056,1.243521051,-0.850365875,-0.124272139,5.049667365,-0.532466763,0.348322647,-0.171923928,-0.216478959,0.505299447,NA,NA,NA,NA,NA
Arr.ela,-0.662849307,-0.609849326,0.655791136,-0.563868173,0.06667262,-0.391179271,-0.147918905,-1.005267017,0.287420202,0.189342504,1.067294215,3.391070537,1.593975347,-1.102645261,-0.801873752,0.493013399,-0.540768362,2.817872789,-0.855108295,2.433372625,-0.487359246,-0.733490394,1.501464843,NA,-0.876870452,0.117350341,-0.470309432,1.648291923,0.099269615,0.251958217,1.392721965,1.784904888,-0.376044264,-0.597808443,-0.177729295,-0.03118523,-0.907617371,-0.26264375,-1.418098447,-0.474529093,0.233032935,-1.065060579,-1.495842285,-0.850575045
Ave.pub,-0.091545841,0.517453304,-0.299953609,NA,-0.173756226,1.186576877,0.460928468,-0.023134612,-0.553723861,-0.279593301,0.343496989,0.423449954,0.887751874,-0.18743164,NA,-0.269493926,-0.376177911,-0.609272032,NA,NA,-0.585682516,-0.024537927,1.014073661,NA,0.350923424,3.897411724,2.870259897,0.942737137,0.356409053,-0.981939927,0.808138091,NA,-0.040348097,-0.597808443,NA,NA,NA,-0.147231774,-1.418098447,NA,NA,NA,NA,NA
Bel.per,-0.752163596,-0.62743535,-0.862799767,-1.036174646,-0.392653362,0.483715619,0.209577661,-0.40012303,0.567842081,-1.73222601,-1.82789469,-0.921871376,1.02798768,1.908799313,1.142447707,1.617383296,-0.425886308,0.384180109,0.1235168,0.102537825,0.691557766,-0.658117687,1.158218585,-0.45724575,-0.29528388,-0.669226047,-0.468907721,-1.255227654,-0.899397197,-0.697947499,0.008602499,0.269642247,-0.879588514,-0.217079737,-0.552839348,-0.594732448,0.019585782,0.335959696,1.466998394,-0.241260685,-0.395009505,1.031882488,0.050493607,0.110535828
Bro.ere,0.157918207,0.090243776,-0.453074687,0.076543672,-0.45347844,-0.447078454,-0.285875133,0.229629495,-0.469453877,0.534093736,0.343496989,-0.249210711,-0.60944188,-0.448176312,-0.866684467,-0.942290865,-0.570903342,-0.697624739,-0.409603699,-0.874090148,-0.357029412,0.466641856,0.188520018,-0.097612898,-0.42452534,1.668029505,-0.298035985,1.292236586,0.207193383,0.163822635,0.381593134,-0.593188844,-0.292120222,-0.597808443,0.998029928,0.85882668,-1.612067838,-0.239561355,1.466998394,0.022845711,0.402775392,-0.901717735,-0.739666737,-0.816249675
Bro.hor,0.382743829,0.977367988,0.103882198,1.655700758,-0.003059827,0.862208828,0.929496754,-0.11447904,-0.527918936,-0.159196953,-0.380300238,-0.090937613,1.034646359,-0.440177518,-0.720860358,-0.395551821,-0.622584673,-0.582291357,-0.433363944,0.214948782,-0.613355045,0.439234777,-0.141315171,-1.138655363,-0.683008261,1.47475645,-0.330859103,0.167159233,0.488294813,-0.482504964,0.25003641,-0.472496114,-0.124272139,-0.597808443,0.616814042,0.142597142,-0.902136605,0.452910498,-0.4563995,-0.344228606,0.051529535,0.012151525,-1.115950835,-0.525717441
Cam.pat,-0.62512172,-0.1400904,-0.941884279,NA,-0.235117242,3.765872051,2.668674048,-0.36066717,0.337984927,-0.094264965,-1.104097464,-0.921871376,0.901569291,2.958478301,NA,2.495264295,-0.487748935,-0.302982872,-0.816497896,-0.563890557,1.060437625,-1.071634257,1.353521619,NA,-0.553766801,0.351075896,1.269222757,-1.05038196,-1.177684609,-1.202278881,-0.758934961,-1.5327482,-1.131360639,0.52322608,-0.679527527,-0.621693626,0.872174512,-0.225711918,-0.4563995,NA,NA,NA,NA,NA
Car.car,-0.742924186,-0.608598765,-1.169883246,-1.035123713,-1.005628762,1.226318803,0.663723053,-0.894759783,1.930930883,0.055686642,1.067294215,0.38388168,1.103335883,0.935797173,-0.96390054,-0.365077628,0.097374048,-0.245549495,-0.090325405,-0.62098786,0.801049631,-0.025702505,1.179526725,-1.133923352,-0.166042419,-0.004007159,-0.421495848,-0.067323336,-0.937030372,-0.805668764,-1.053129502,-1.53502316,NA,NA,-0.450037553,-0.470183531,0.903230469,-0.268799055,-0.4563995,-0.061119518,-0.030159193,-0.948773118,0.342179392,-0.92489916
Car.pra,-0.588934034,-0.161692305,-0.84513195,-0.848670815,-0.352567526,2.393177283,3.480589354,0.88774092,0.314905285,-0.406593782,-1.82789469,-0.961439651,0.040283714,0.898285447,-0.218577314,0.061572706,-0.33706608,-0.263431471,0.433885002,-1.141320764,0.364600526,-0.424425695,0.784309742,-2.193893862,-0.42452534,-0.22874327,-0.480703278,-0.133330481,-0.639094569,-0.600019073,-0.96573199,0.696714679,3.064841447,-0.534353659,0.036583491,0.109481782,-1.148881691,-0.271876708,-0.4563995,-0.02034933,1.100722813,-1.049968345,0.235377451,1.378588315
Cen.jac,-0.411845358,-0.494386977,-0.846814599,-0.442310342,-0.912295109,-0.801349378,-0.832520649,-0.739248207,-0.047214766,0.995494853,1.067294215,0.146472033,1.225995751,0.365181175,0.915610203,-0.500144581,-0.12297606,-0.433865323,-0.068050176,0.193923389,1.255051857,-0.509474055,0.447568853,-0.149665021,1.772579491,-0.642257714,0.867455611,-0.609549206,-1.165090668,-0.012448528,-0.416647553,0.331289471,-0.376044264,-0.40744409,-0.195234409,-0.169507792,-0.33701404,-0.22878957,-0.4563995,-0.048475155,-0.542890062,-0.010849339,-0.086586678,0.887498334
