predictor,Dimens,Eff_sighn,sum,AG,BG,AG_BG,Total,AG_pr,BG_pr,Total_pr
gr.ef,flow,negative,41,4,0,0,4,9.76,0,9.76
gr.ef,flow,positive,41,0,2,0,2,0,4.88,4.88
gr.ef,stock,negative,12,2,1,0,3,16.67,8.33,25
gr.ef,stock,positive,12,0,1,0,1,0,8.33,8.33
leg.ef,flow,positive,41,2,2,0,4,4.88,4.88,9.76
leg.ef,flow,negative,41,0,0,1,1,0,0,2.44
leg.ef,stock,positive,12,2,1,0,3,16.67,8.33,25
leg.ef,stock,negative,12,0,0,1,1,0,0,8.33
numfg,flow,negative,41,0,1,0,1,0,2.44,2.44
numfg,flow,positive,41,0,3,0,3,0,7.32,7.32
numfg,stock,positive,12,1,0,0,1,8.33,0,8.33
sh.ef,stock,positive,12,0,1,0,1,0,8.33,8.33
sowndiv,flow,positive,41,9,1,1,11,21.95,2.44,26.83
sowndiv,stock,positive,12,3,0,1,4,25,0,33.33
th.ef,flow,negative,41,0,1,0,1,0,2.44,2.44
