predictor,term,sumsq,df,F.value,p.value
FDbranch,Ecos_Function,0.1493981396913704,5,1.073233413843495,0.39189965389099096
FDbranch,AG_BG,0.3612607743555716,1,24.302900470884005,1.6527792479128387e-5
FDis,Ecos_Function,0.1304996389468861,5,1.3032240830715291,0.28502479993233437
FDis,AG_BG,0.008304986680304327,1,0.40265922575872537,0.5295212044077945
gr.ef,Ecos_Function,0.11786365650740593,5,1.5451329462888064,0.20130573637412913
gr.ef,AG_BG,0.17391789614538294,1,15.016837000342342,4.0823937857852787e-4
leg.ef,Ecos_Function,0.1587293300396116,5,3.0843589644544847,0.020724973230799304
leg.ef,AG_BG,0.035805322712725574,1,3.4296540671776348,0.07181670919870202
numfg,Ecos_Function,0.011060279655145722,5,0.23585983561284155,0.9440454905180063
numfg,AG_BG,4.740997111563061e-8,1,5.310796902113515e-6,0.998173319290152
sh.ef,Ecos_Function,0.015745849589058114,5,0.4161539759075338,0.8342794259089512
sh.ef,AG_BG,0.03175484388668054,1,4.952623091482051,0.03206128967168217
sowndiv,Ecos_Function,0.11843908888593613,5,1.5049010485652219,0.21342968129677517
sowndiv,AG_BG,0.18641232205178876,1,19.535541419774614,7.975202822019818e-5
th.ef,Ecos_Function,0.026100860987773422,5,0.7637370382784637,0.582112823081147
th.ef,AG_BG,3.7557205136068417e-4,1,0.05488162501763154,0.8160343679805677
