"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"TrGr for SR",5,0.171019312326206,0.0342038624652411,1.65790849790435,0.276910281530605
"TL for SR",2,0.0649691220856561,0.0324845610428281,1.16210954458158,0.355675629435889
"AG_BG for SR",1,0.000560501804916669,0.000560501804916669,0.000890596029949478,0.976726952488544
"TrGr for FG",5,0.063890124874767,0.0127780249749534,0.687498894768274,0.651080208649846
"TL for FG",2,0.00161409730223557,0.000807048651117783,0.0417934917186515,0.959252822230864
"AG_BG for FG",1,0.000849158599366669,0.000849158599366669,0.0592838228455474,0.812112586218366
"TrGr for leg",5,0.169680060391519,0.0339360120783038,1.46928835484714,0.323807824886628
"TL for leg",2,0.0270940281112273,0.0135470140556137,0.433631715835479,0.661006970392234
"AG_BG for leg",1,0.103669482017189,0.103669482017189,3.91173911569148,0.073543851292871
"TrGr for grass",5,3.20579578762879,0.641159157525758,0.975010100129115,0.500695859820341
"TL for grass",2,0.0499174147206247,0.0249587073603124,1.39097065060012,0.297588021685956
"AG_BG for grass",1,0.0357700308471412,0.0357700308471412,2.01421752640359,0.183541947372527
"TrGr for SH",5,1.2656630840399,0.253132616807979,1.83430456638226,0.240509204470759
"TL for SH",2,0.0381420116953914,0.0190710058476957,3.01009419098748,0.0997819723771579
"AG_BG for SH",1,0.00132783793085602,0.00132783793085602,0.0949141582812651,0.76377572099543
"TrGr for TH",5,0.0231039085292019,0.00462078170584037,0.839695820602574,0.566658103524323
"TL for TH",2,0.0181565244468309,0.00907826222341547,2.15210124256286,0.172242961958511
"AG_BG for TH",1,0.000352360052355066,0.000352360052355066,0.0541222082054581,0.820311480225148
