traits: name of the variable how it is used in analysis; this is for fast and easy typing in R but often not clear for others,,,,,
"longName: a long version of the variable names, that is generally intuitive understandable",,,,,
meaning: a short description of the variable; can contain information about calculation or meaning,,,,,
unit: the measurement unit of the variables; I tried to use SI units; to avoid very height or small numbers I used appropriate translation units.,,,,,
"variable type: says, whether a variable is categorial or numeric (continous) or binary",,,,,
category: p= performance measure; f=functional trait; c=category or help variable needed for calculations,,,,,
,,,,,
,,,,,
traits,longName,explanation,unit,variable type,category
sp,species,species name,1,factor,c
code,code,combination of species name and block number; only important for table merging,1,factor,c
bl,block,block number,1,factor,c
,,,,,
rbm_A,rootBM_A,dry mass of the roots of the layer 0-10 cm,g,num,c
rbm_B,rootBM_B,dry mass of the roots of the layer 10-20 cm,g,num,c
rbm_C,rootBM_C,dry mass of the roots of the layer 20-30 cm,g,num,c
rbm_D,rootBM_D,dry mass of the roots of the layer 30-50 cm,g,num,c
rl_A,rootLength_A,root length of the layer 0-10 cm,cm,num,c
rl_B,rootLength_B,root length of the layer 10-20 cm,cm,num,c
rl_C,rootLength_C,root length of the layer 20-30 cm,cm,num,c
rl_D,rootLength_D,root length of the layer 30-50 cm,cm,num,c
ra_A,rootArea_A,root area of the layer 0-10 cm,cm2,num,c
ra_B,rootArea_B,root area of the layer 10-20 cm,cm2,num,c
ra_C,rootArea_C,root area of the layer 20-30 cm,cm2,num,c
ra_D,rootArea_D,root area of the layer 30-50 cm,cm2,num,c
rbm,rootBM,dry mass of the roots of the whole pot,g,num,p
rl,rootLength,root length of the whole pot,cm,num,p
ra,rootArea,root area of the whole pot,cm2,num,p
srl,specRootLength,root length per root dry mass in cm/g,km*g-1,num,f
sra,specRootArea,root surface area per root dry mass in cm2/g,cm*g-1,num,f
rtd,rootTissueDensity,ratio of root dry mass and root volume,g*cm-3,num,f
k.rbmd,vertRootBMDistrib,"the k-value of the function w-w0*e*-(k*t), the smaller the k-value, the more of root biomass is concentrated in the upper soil layers",1,num,f
k.rad,vertRootAreaDistrib,"the k-value of the function w-w0*e*-(k*t), the smaller the k-value, the more of root surface area is concentrated in the upper soil layers",1,num,f
