sp,bl,rbm_A,rbm_B,rbm_C,rbm_D,rl_A,rl_B,rl_C,rl_D,ra_A,ra_B,ra_C,ra_D,rbm,rl,ra,rd,srl,sra,rtd,k.rbmd,k.rad,k.rld,mlw,alw,ll,laBM,llBM,lt,pp,ler,fc,fl,h1,h2,pat,herb,condUpside,condDownside,cond,sla,lSize,la,lar,lmr,ar,lsd,longevity,ldmc,sd,sdmc,ssd,erect,lbpr,SeedsProjArea,SeedsStraightLength,SeedsCurvedLength,SeedsStraightWidth,SeedsCurvedWidth,SeedsCurvature,SeedsVolCircle,SeedsVolEllipsoid,SeedsVolRectangle,SeedsVolConstPerim,SeedsSurfAreaCircle,SeedsSurfAreaEllipsoid,SeedsSurfAreaRectangle,SeedsSurfAreaConstPerim,SeedsSurfAreaPropPerim,SeedsWLRatio,SeedsProjPerimeter,SeedsTCW,leafN,rootN,leafC,rootC,RCN,LNU,LCN,RNU,nute,Nacr,BM_Target_Inflorescence,DurationFlowreing_Target_Phenology,Flowering_Target_Phenology,Foliage_Target_Saisonality,Height_Target_Shoot,LifeCycle_Target,Mycorrhiza_Target_Frequency,Mycorrhiza_Target_Type,NrInflorescence_Target_Shoot,NrSeedling_Target,P_Target_leaf,RGR,Reproduction_Target_Vegatative,RootingDepth_Target,RootingType_Target
Ach.mil,1,2.09,0.63,0.58,1.41,23961.36659,15933.77305,17386.91186,37395.5006,1761.478372,1082.742096,1166.192399,2752.589909,4.71,94677.5521,6763.002777,0.2225,20101.3911,1435.881694,0.1225,-0.228,-0.039,-0.037,1.94,0.9,11.41,13.92,4.26,0.25,1.63,4.5,0.02,1,52,58,0,0,135,386,521,159.9636364,10.5576,681.4450909,48.95438871,0.306034483,0.170026293,1.918049557,0.965325936,0.151685393,3.41,0.282352941,0.055216509,0.896551724,0.3645,0.922389381,1.803672566,1.824867257,0.647168142,0.652920354,0.031371681,0.403274336,0.100530973,0.128053097,0.145353982,2.898628319,2.112964602,2.306769912,1.824867257,0.922743363,0.362035398,4.298716814,0.132,2.054403811,0.801684027,40.04873897,40.67507289,50.73703796,14.75391023,19.494093,22.025,10.538085,0.669883303,NA,3,0.000,3,5.8,3,normally mycorrhizal,arbuscular,NA,3.703703704,NA,0.263187914,1,3,3
Ach.mil,2,0.28,0.13,0.04,0.08,5688.917391,3851.368732,1673.785131,3646.619639,391.0450692,255.0560247,103.0110994,224.6559559,0.53,14860.69089,973.7681492,0.2075,28039.03942,1837.298395,0.095,-0.384,-0.249,-0.226,2.2,0.8625,19.0375,5.31,4.57,0.49,1.76,5.67,0.02,0,13,21,0,0,316,90,406,124.3660377,16.4785,568.3527925,107.0344242,0.860640301,0.115561392,NA,0.990671642,NA,NA,NA,NA,0.619047619,0.751275,0.922389381,1.803672566,1.824867257,0.647168142,0.652920354,0.031371681,0.403274336,0.100530973,0.128053097,0.145353982,2.898628319,2.112964602,2.306769912,1.824867257,0.922743363,0.362035398,4.298716814,0.132,1.385014494,0.953185409,37.30923275,40.02135259,41.98695468,11.32370552,26.93779228,12.517,44.70205781,0.904696728,NA,3,0.000,3,5.8,3,normally mycorrhizal,arbuscular,NA,3.703703704,NA,0.263187914,1,3,3
Ach.mil,3,2.05,0.49,0.4,0.58,7314.676169,10452.53537,5661.049486,14469.20347,821.2956629,687.2911361,410.8268285,1030.040738,3.52,37897.4645,2949.454366,0.2575,10766.32514,837.913172,0.1725,-0.393,-0.101,-0.032,1.96,0.7,16.08,4.22,3.17,0.21,2.83,6.83,0.04,0,13,18,0,0,400,244,644,154.8297297,11.4574,490.8102432,116.3057448,0.751184834,0.121890547,2.914273744,0.881002088,0.15377176,NA,NA,NA,0.722222222,1.08597,0.922389381,1.803672566,1.824867257,0.647168142,0.652920354,0.031371681,0.403274336,0.100530973,0.128053097,0.145353982,2.898628319,2.112964602,2.306769912,1.824867257,0.922743363,0.362035398,4.298716814,0.132,0.7,NA,38.78268437,45.13724447,NA,3.81934421,55.40383481,NA,NA,NA,NA,3,0.000,3,5.8,3,normally mycorrhizal,arbuscular,NA,3.703703704,NA,0.263187914,1,3,3
Ach.mil,4,1.71,0.33,0.39,1.64,30071.9577,8363.810349,8736.919308,32837.38277,2053.861318,549.1618129,536.8797846,2024.032167,4.07,80010.07013,5163.935082,0.2075,19658.49389,1268.780118,0.145,-0.178,-0.165,-0.136,NA,NA,NA,14.57,4.56,0.27,2.34,5.67,0.02,1,48,50,1,1,216,99,315,NA,NA,NA,NA,0.31297186,NA,NA,0.991156463,0.144654088,4.26,0.415384615,0.099461824,0.96,0.78246,0.922389381,1.803672566,1.824867257,0.647168142,0.652920354,0.031371681,0.403274336,0.100530973,0.128053097,0.145353982,2.898628319,2.112964602,2.306769912,1.824867257,0.922743363,0.362035398,4.298716814,0.132,0.5736347,NA,39.81500271,37.09650954,NA,5.365831276,69.40828844,NA,NA,NA,NA,3,0.000,3,5.8,3,normally mycorrhizal,arbuscular,NA,3.703703704,NA,0.263187914,1,3,3
Ach.mil,5,0.98,0.45,0.26,1.1,16699.21926,8452.066256,12191.7561,13948.18027,1199.284616,610.7178377,741.9006599,939.4900808,2.79,51291.22189,3491.393195,0.215,18383.9505,1251.39541,0.14,-0.146,-0.139,-0.117,1.84,0.92,11.27,11.23,3.04,NA,NA,6.83,0.04,1,58,60,0,0,NA,NA,NA,166.2153846,10.804,505.2947692,44.99508185,0.270703473,0.163265306,NA,0.937395659,NA,4.29,0.348484848,0.084362713,0.966666667,0.44395,0.922389381,1.803672566,1.824867257,0.647168142,0.652920354,0.031371681,0.403274336,0.100530973,0.128053097,0.145353982,2.898628319,2.112964602,2.306769912,1.824867257,0.922743363,0.362035398,4.298716814,0.132,2.002192177,0.914438304,38.55663204,43.2908074,47.34141956,12.00199218,19.25720842,16.044,16.37132314,0.748072144,NA,3,0.000,3,5.8,3,normally mycorrhizal,arbuscular,NA,3.703703704,NA,0.263187914,1,3,3
Aju.rep,1,1.66,0.46,0.04,0.47,23063.11749,7767.387382,1398.554684,12285.33767,2350.437619,785.7433402,131.8106726,1250.881034,2.63,44514.39723,4518.872666,0.315,16925.62632,1718.202535,0.0625,-0.579,-0.399,-0.393,3.86,1.49,13.96,4.75,4.06,0.2,2.76,NA,NA,0,11.5,13,0,0,NA,NA,NA,227.8195652,20.9594,924.9474348,194.7257757,0.854736842,0.276504298,10.82092045,0.897920605,0.152557319,3.08,0.166666667,0.044106709,0.884615385,NA,2.070473373,1.994319527,2.038639053,1.335029586,1.332248521,0.04035503,1.875621302,0.469171598,0.59704142,0.162248521,6.603550296,4.813254438,5.254911243,2.038639053,2.102130178,0.672189349,5.507100592,0.982,2.182713579,1.313850167,38.84656298,40.25061893,30.6356234,33.81293738,17.79737082,NA,NA,NA,0.38,3,8.000,3,3.7,3,normally mycorrhizal,arbuscular,NA,0,NA,NA,1,2,3
Aju.rep,2,1.06,0.22,0.13,0.23,33475.60238,8693.574533,4122.448443,17843.43243,3518.877996,866.5992811,366.2558085,1704.126606,1.64,64135.05778,6455.859692,0.3075,39106.74255,3936.499812,0.035,-0.492,-0.383,-0.348,3.51,1.76,10.28,5.71,4.73,0.15,2.57,NA,NA,0,11,16,0,0,NA,NA,NA,213.6411765,18.1595,1010.522765,176.9742145,0.828371278,0.341439689,13.57966904,0.948504983,0.120437956,3.63,0.121212121,0.086218331,0.6875,NA,2.070473373,1.994319527,2.038639053,1.335029586,1.332248521,0.04035503,1.875621302,0.469171598,0.59704142,0.162248521,6.603550296,4.813254438,5.254911243,2.038639053,2.102130178,0.672189349,5.507100592,0.982,2.604628218,1.347698509,38.24286419,38.61468678,28.65231839,39.04037031,14.68265756,45.332,42.76648487,0.861200965,0.38,3,8.000,3,3.7,3,normally mycorrhizal,arbuscular,NA,0,NA,NA,1,2,3
Aju.rep,3,0.73,0.36,0.24,0.26,6258.377546,6031.449528,1814.054503,3103.38468,669.2697328,606.7264144,182.1406814,257.0961676,1.59,17207.26626,1715.232996,0.31,10822.18004,1078.762891,0.13,-0.286,-0.282,-0.253,4.45,2,12.25,3.88,3.48,0.31,2.78,NA,NA,0,9.5,12,0,0,NA,NA,NA,262.0787234,24.6354,912.0339574,235.0602983,0.896907216,0.363265306,14.42071166,0.932692308,0.12565445,4.32,0.103448276,0.024995515,0.791666667,NA,2.070473373,1.994319527,2.038639053,1.335029586,1.332248521,0.04035503,1.875621302,0.469171598,0.59704142,0.162248521,6.603550296,4.813254438,5.254911243,2.038639053,2.102130178,0.672189349,5.507100592,0.982,2.527946753,1.717362392,38.91047776,40.26870746,23.44799656,26.98930824,15.39212711,NA,NA,NA,0.38,3,8.000,3,3.7,3,normally mycorrhizal,arbuscular,NA,0,NA,NA,1,2,3
Aju.rep,4,1.42,0.66,0.32,0.41,23317.44304,10707.2921,4210.287356,13527.62554,2562.421694,1055.558886,408.0531863,1344.220865,2.81,51762.64804,5370.254632,0.3225,18420.87119,1911.122645,0.07,-0.345,-0.311,-0.283,3.38,1.41,12.25,4.8,4.18,0.26,2.84,NA,NA,0,9,13,0,0,NA,NA,NA,224.4818182,17.2851,938.334,195.48625,0.870833333,0.275918367,16.93713082,0.926640927,0.18383659,3.76,0.106382979,0.050064499,0.692307692,NA,2.070473373,1.994319527,2.038639053,1.335029586,1.332248521,0.04035503,1.875621302,0.469171598,0.59704142,0.162248521,6.603550296,4.813254438,5.254911243,2.038639053,2.102130178,0.672189349,5.507100592,0.982,2.023598571,1.392010017,38.29755495,42.3751605,30.44170659,29.30041438,18.92547045,38.019,26.77413176,0.770672783,0.38,3,8.000,3,3.7,3,normally mycorrhizal,arbuscular,NA,0,NA,NA,1,2,3
Aju.rep,5,1.41,0.47,0.35,0.35,21346.06074,19022.69246,14445.00305,9541.464164,2603.964164,2052.809281,1529.770443,967.9054552,2.58,64355.22041,7154.449344,0.3475,24943.88388,2773.042381,0.0425,-0.365,-0.223,-0.195,3.56,1.49,11.16,5.37,4.33,0.33,2.68,NA,NA,0,11,15,0,0,NA,NA,NA,192.5712644,16.7537,833.8335747,155.2762709,0.806331471,0.318996416,24.30627264,0.913265306,0.126418152,4.61,0.117647059,0.042289227,0.733333333,NA,2.070473373,1.994319527,2.038639053,1.335029586,1.332248521,0.04035503,1.875621302,0.469171598,0.59704142,0.162248521,6.603550296,4.813254438,5.254911243,2.038639053,2.102130178,0.672189349,5.507100592,0.982,2.707731915,1.458294251,39.11368267,42.927065,29.4364906,46.05987053,14.44518287,54.969,38.98528193,0.837920703,0.38,3,8.000,3,3.7,3,normally mycorrhizal,arbuscular,NA,0,NA,NA,1,2,3
